Frame,explicit-simd-thr,openacc-offload,openmp-offload,cuda-offload2,cuda-offload3,cuda-offload3b,explicit-simd,implicit-simd,openmp-loop,openmp-simd,thread-loop,vanilla
11,129.95579800000012938,231.68132800000006455,1711.2805770000002212,141.08816399999989244,216.45495266666665657,114.1998827272727226,577.69209999999930005,760.24973599999952967,172.09430700000007164,763.79052199999898676,171.06875100000019074,1014.1010809999997946
12,132.22476199999988467,248.43534999999982915,1688.2064599999998791,145.21089199999991592,207.76155225000002247,104.68818841666667652,584.24220000000025266,768.10925999999926717,173.01394500000034782,771.46408099999950991,172.55455700000021579,1025.816781000001356
13,132.19058800000004794,236.21711400000000936,1765.356422000000066,149.38804600000011646,207.28153439999999819,97.697491769230779823,585.61103999999988901,770.18494600000053651,174.38612599999993336,773.32366900000158694,173.72794100000010076,1033.455692999998746
14,133.54560799999993037,234.79614499999979671,1761.562314000002516,152.14193799999975454,202.11458683333333397,102.57925757142857037,592.48265000000003511,778.38684900000032485,175.66385699999997883,781.48329799999953593,176.35665599999984465,1045.036037000000988
15,134.7939399999999921,263.02740199999965398,1783.6136429999990014,153.06953600000028359,105.92395984615384918,105.48219753333334836,597.51468900000054418,784.93603199999915887,177.71851000000003751,788.17385900000044785,177.1588109999999574,1054.1788629999989553
16,137.56831000000002518,271.77369500000025937,1776.4285149999991518,152.13652600000006032,110.81628757142857467,98.892662187500008031,609.15883500000052209,798.6196970000012243,179.27834600000025489,801.85651399999892419,178.81959300000005442,1066.7597170000017286
17,138.7301590000000715,265.00161200000025019,1796.8199110000000474,152.89985699999996882,107.36040545000000179,79.901972750000012979,613.35772600000029797,803.82215199999859578,180.41131899999962229,807.00197300000024825,179.84602900000012937,1076.7843309999989287
18,140.10417499999982738,286.65228900000005297,1802.2080389999998715,154.73112299999991137,82.444620300000011071,80.514728750000017499,618.69137200000068333,810.52080100000091534,181.6316210000001945,814.01696500000048218,180.74661899999978232,1088.0405099999989034
19,142.88012200000022744,263.25637000000057242,1819.8432659999923544,157.28364599999977713,75.340989550000003305,81.862216062500010594,630.1730699999997114,825.12938500000029762,183.53011200000014469,828.8508740000004309,183.08578000000031238,1099.9822110000004614
20,143.86204899999998474,275.1172100000003411,1819.3247290000017529,160.43409500000026924,99.00647559999998748,81.8627732500000036,633.84774699999900349,829.12380099999973027,186.34644399999979214,832.75557700000035766,185.93301699999997822,1108.4666239999983191
21,145.62195099999985359,288.62352199999997993,1855.7738160000028529,161.77946900000029018,91.208149400000010587,81.904270187500003431,640.22926700000050459,836.61136999999996533,186.66559600000010732,840.01634300000023359,186.46198099999989495,1121.3972080000012284
